Text,StrTime,User,MessageType,Sentiment,Confidence,Positive_Prob,Negative_Prob
但是不知道多严重,2021-11-15 03:49:13,Matteo,text,0,0.686677,0.140996,0.859005
还是去开个奖吧,2021-11-15 03:54:04,R,text,0,0.986061,0.00627238,0.993728
真就裸考,2021-11-16 20:17:18,Matteo,text,0,0.977468,0.0101394,0.989861
拿计算机搞随机数,2021-11-16 20:17:25,Matteo,text,0,0.914362,0.0385372,0.961463
[汗],2021-11-16 20:17:42,Matteo,text,0,0.901236,0.044444,0.955556
电脑课？,2021-11-16 21:14:41,R,text,0,0.98948,0.00473396,0.995266
财汇管理,2021-11-16 21:15:52,Matteo,text,2,0.762688,0.89321,0.10679
可以的计算机,2021-11-16 21:15:58,Matteo,text,2,0.993157,0.996921,0.00307946
哦计算器,2021-11-16 21:16:09,Matteo,text,2,0.128307,0.607738,0.392262
哈哈哈哈哈哈哈,2021-11-16 21:16:58,R,text,2,0.974361,0.988462,0.0115377
瞎摁,2021-11-16 21:17:14,R,text,0,0.986317,0.00615728,0.993843
麻了,2021-11-16 21:18:46,Matteo,text,0,0.287256,0.320735,0.679265
我在想,2021-11-21 20:48:04,Matteo,text,2,0.829714,0.923371,0.0766286
能不能用网上的那种脑瘫词云生成器,2021-11-21 20:48:24,Matteo,text,0,0.858776,0.0635507,0.936449
事先把我想生成的内容弄好,2021-11-21 20:48:53,Matteo,text,0,0.619642,0.171161,0.828839
再生成,2021-11-21 20:48:58,Matteo,text,0,0.799174,0.0903716,0.909628
比如词“阿这”*33，词“就这”*12这样,2021-11-21 20:49:57,Matteo,text,0,0.905439,0.0425525,0.957448
可以,2021-11-21 20:55:30,Matteo,text,2,0.982081,0.991936,0.00806369
已经弄好了？,2021-11-21 21:58:29,R,text,0,0.986857,0.00591442,0.994086
嗯,2021-11-21 21:58:54,Matteo,text,2,0.204458,0.642006,0.357994
就是要收钱,2021-11-21 21:59:01,Matteo,text,0,0.904065,0.0431707,0.956829
资本家！,2021-11-21 21:59:06,Matteo,text,2,0.38432,0.722944,0.277056
应该有不收费的网站？,2021-11-21 22:00:27,R,text,0,0.581734,0.188219,0.811781
应该有,2021-11-21 22:00:39,Matteo,text,2,0.187212,0.634245,0.365755
但是我直接给它截图了,2021-11-21 22:00:53,Matteo,text,0,0.733941,0.119727,0.880273
哈哈哈哈哈哈哈,2021-11-21 22:03:12,R,text,2,0.974361,0.988462,0.0115377
okay,2021-11-21 22:03:15,R,text,2,0.991958,0.996381,0.00361905
截图和图片转文字yyds,2021-11-21 22:03:30,R,text,0,0.434117,0.254647,0.745353
确实,2021-11-21 22:09:20,Matteo,text,2,0.483035,0.767366,0.232634
问你个问题,2021-11-23 04:47:42,R,text,2,0.13792,0.612064,0.387936
你觉得我最牛逼或者最突出或者最与众不同的一点是什么,2021-11-23 04:47:44,R,text,2,0.943946,0.974776,0.0252243
我觉得你一直很牛逼,2021-11-23 04:53:15,Matteo,text,2,0.998845,0.99948,0.000519733
woc 哪里啊,2021-11-23 05:01:01,R,text,0,0.964905,0.0157925,0.984207
哪里都牛逼,2021-11-23 05:01:12,Matteo,text,2,0.447347,0.751306,0.248694
怎么办,2021-11-23 05:01:16,Matteo,text,0,0.305512,0.31252,0.68748
你在唬我吧！,2021-11-23 05:01:32,R,text,0,0.993232,0.00304561,0.996954
除了打游戏菜了点都挺好,2021-11-23 05:01:54,Matteo,text,2,0.978609,0.990374,0.00962588
最印象深刻的,2021-11-23 05:02:32,R,text,2,0.981077,0.991485,0.00851522
是哪方面啊,2021-11-23 05:02:35,R,text,0,0.762974,0.106662,0.893338
心态好？,2021-11-23 05:02:38,Matteo,text,0,0.474309,0.236561,0.763439
确实 到位了,2021-11-23 05:03:18,R,text,2,0.990363,0.995663,0.00433652
我也想有这种心态,2021-11-23 05:03:56,Matteo,text,2,0.754076,0.889334,0.110666
哈哈哈哈哈哈草,2021-11-23 05:19:29,R,text,2,0.35866,0.711397,0.288603
我觉得我这个心态确实难得,2021-11-23 05:19:39,R,text,2,0.974611,0.988575,0.011425
希望在你emo的时候分你一点,2021-11-23 05:20:02,R,text,0,0.608497,0.176176,0.823824
我很讨厌超出计划的事情,2021-11-23 05:20:33,Matteo,text,0,0.831638,0.0757629,0.924237
它敢出现我就敢裂开,2021-11-23 05:20:51,Matteo,text,0,0.99908,0.000413977,0.999586
uncertainty厌恶,2021-11-23 05:20:55,R,text,0,0.606392,0.177124,0.822876
我知道 我以前也是 后来大学期间 不知道咋好的,2021-11-23 05:21:10,R,text,0,0.0871049,0.410803,0.589197
我最近好了一点,2021-11-23 05:21:40,Matteo,text,2,0.255094,0.664793,0.335208
好像是因为我男朋友以前老是一会儿是一出,2021-11-23 05:22:15,R,text,2,0.410169,0.734576,0.265424
后来麻了,2021-11-23 05:22:22,R,text,0,0.389829,0.274577,0.725423
心态就变好了,2021-11-23 05:22:28,R,text,2,0.186821,0.63407,0.36593
也他妈挺神奇,2021-11-23 05:22:32,R,text,2,0.96543,0.984443,0.0155566
[旺柴],2021-11-23 05:22:44,Matteo,text,0,0.572422,0.19241,0.80759
突然有一天 宛如发现新世界,2021-11-23 05:22:57,R,text,2,0.905965,0.957684,0.0423156
所以连八爪鱼我都不会爬,2021-11-26 06:44:13,Matteo,text,0,0.708617,0.131122,0.868878
?,2021-11-26 08:26:17,R,text,0,0.977255,0.0102351,0.989765
笨蛋？,2021-11-26 08:26:21,R,text,0,0.997018,0.00134177,0.998658
别骂了别骂了别骂了,2021-11-26 08:52:11,Matteo,text,0,0.998376,0.000730608,0.999269
美团它那个页面,2021-11-26 08:52:47,Matteo,text,1,0.981579,0.499079,0.500921
爬的时候是一个登录页面,2021-11-26 08:52:58,Matteo,text,2,0.740979,0.883441,0.116559
哦大网站可能会,2021-11-26 08:53:08,R,text,2,0.183954,0.632779,0.367221
然后我懵逼了一下午,2021-11-26 08:53:29,Matteo,text,0,0.973426,0.0119582,0.988042
要不超能力吧,2021-11-26 08:55:24,R,text,0,0.978896,0.0094968,0.990503
我手动搞了八百多条,2021-11-26 08:55:44,Matteo,text,0,0.967059,0.0148233,0.985177
最后发现没啥用,2021-11-26 08:55:52,Matteo,text,0,0.898473,0.0456872,0.954313
哈哈哈哈哈哈草,2021-11-26 08:56:12,R,text,2,0.35866,0.711397,0.288603
最后做了一个啥用也没有的词云出来,2021-11-27 01:53:03,Matteo,text,0,0.729888,0.12155,0.87845
还是我根据主观偏好调整了词频,2021-11-27 01:53:35,Matteo,text,0,0.17358,0.371889,0.628111
酷的,2021-11-27 02:51:54,R,text,2,0.999664,0.999849,0.000151133
然后一无是处是吧,2021-11-27 02:53:00,Matteo,text,0,0.999748,0.000113542,0.999887
[旺柴],2021-11-27 02:53:04,Matteo,text,0,0.572422,0.19241,0.80759
看起来能唬人就行,2021-11-27 02:53:19,R,text,0,0.247264,0.338731,0.661269
管理学精髓,2021-11-27 02:53:28,R,text,2,0.986753,0.994039,0.00596101
我确实是这么在做的,2021-11-27 02:53:45,Matteo,text,2,0.110341,0.599653,0.400347
哈哈哈,2021-11-27 02:53:50,Matteo,text,2,0.998853,0.999484,0.000516395
百度指数？,2021-11-27 02:54:30,R,text,0,0.961548,0.0173035,0.982696
找了个很有话题的搜索指数,2021-11-27 02:54:31,Matteo,text,2,0.979446,0.990751,0.00924936
嗯,2021-11-27 02:54:35,Matteo,text,2,0.204458,0.642006,0.357994
66666,2021-11-27 02:54:54,R,text,2,0.388554,0.724849,0.275151
[Emm],2021-11-27 02:56:32,Matteo,text,2,0.916123,0.962255,0.0377445
管理学永远的神,2021-11-27 02:56:54,Matteo,text,2,0.602649,0.821192,0.178808
哈哈哈哈哈哈哈哈草,2021-11-27 03:07:36,R,text,2,0.329704,0.698367,0.301633
你在干嘛,2021-11-28 02:11:43,R,text,0,0.994825,0.00232879,0.997671
‼️距离澳门大学生秋季就业与实习线上招聘会正式开始还有10分钟。请各位同学于14:25前进入主会场会议室。进入后，请按照“姓名+学校”修改昵称，方便同学们在讨论组与宣讲单位交流。腾讯会议ID【699871930】，密码【211128】。,2021-11-28 02:11:55,R,text,2,0.845928,0.930668,0.0693322
我在搞问卷,2021-11-28 02:12:24,Matteo,text,0,0.665039,0.150733,0.849267
你要来看看吗,2021-11-28 02:12:35,R,text,0,0.876174,0.0557217,0.944278
也没人说话,2021-11-28 02:14:50,Matteo,text,0,0.935296,0.0291168,0.970883
点那个分组,2021-11-28 02:15:02,R,text,0,0.238086,0.342861,0.657139
进企业,2021-11-28 02:15:06,R,text,1,0.779238,0.511038,0.488962
阿这,2021-11-28 02:15:13,Matteo,text,2,0.600238,0.820107,0.179893
我在中国银行这里,2021-11-28 02:15:17,R,text,2,0.860564,0.937254,0.0627462
人多,2021-11-28 02:15:20,R,text,2,0.913615,0.961127,0.0388732
不尴尬[呲牙],2021-11-28 02:15:40,R,text,1,0.489381,0.525531,0.474469
看了一圈,2021-11-28 02:17:14,Matteo,text,2,0.746504,0.885927,0.114073
没什么合适的企业,2021-11-28 02:17:20,Matteo,text,0,0.964469,0.0159889,0.984011
你这得去啥企业啊,2021-11-28 02:17:37,R,text,0,0.990102,0.00445412,0.995546
酒店？,2021-11-28 02:17:39,R,text,0,0.187426,0.365658,0.634342
旅行社？,2021-11-28 02:17:42,R,text,0,0.771487,0.102831,0.897169
这都是银行和建筑公司,2021-11-28 02:18:36,Matteo,text,0,0.434743,0.254366,0.745634
还有保险,2021-11-28 02:19:16,Matteo,text,2,0.858471,0.936312,0.063688
确实,2021-11-28 02:22:22,R,text,2,0.483035,0.767366,0.232634
来填份问卷不,2021-11-30 05:50:33,Matteo,text,0,0.926344,0.0331453,0.966855
https://www.wjx.cn/vj/OthC75a.aspx,2021-11-30 05:50:34,Matteo,text,2,0.976666,0.9895,0.0105002
填完了,2021-11-30 06:04:47,R,text,0,0.544558,0.204949,0.795051
怎么还有错别字啊房老师,2021-11-30 06:04:59,R,text,0,0.671278,0.147925,0.852075
哪里啊,2021-11-30 06:05:35,Matteo,text,0,0.953309,0.021011,0.978989
那个vr漫科技沉浸体验馆,2021-11-30 06:06:28,R,text,2,0.952455,0.978605,0.0213954
还有那个,2021-11-30 06:06:33,R,text,2,0.8187,0.918415,0.0815849
最后的,2021-11-30 06:06:35,R,text,2,0.954117,0.979353,0.0206474
泳装派对？,2021-11-30 06:06:40,R,text,0,0.836864,0.0734113,0.926589
没有,2021-11-30 06:07:04,Matteo,text,0,0.919235,0.0363442,0.963656
就是那名字,2021-11-30 06:07:07,Matteo,text,2,0.640188,0.838085,0.161915
okay,2021-11-30 06:07:15,R,text,2,0.991958,0.996381,0.00361905
店名漏了就漏了吧,2021-11-30 06:07:19,Matteo,text,0,0.917292,0.0372186,0.962781
反正也没人去过,2021-11-30 06:07:25,Matteo,text,0,0.998092,0.000858477,0.999142
[裂开],2021-11-30 06:07:34,Matteo,text,0,0.822581,0.0798384,0.920162
哈哈哈哈哈,2021-11-30 06:07:35,R,text,2,0.99747,0.998861,0.00113866
[强],2021-11-30 06:07:41,R,text,2,0.998789,0.999455,0.000545162
你知道我本来想私戳人家填问卷,2021-11-30 06:08:09,Matteo,text,0,0.845716,0.0694278,0.930572
但是发现聊天记录还停留在上一份问卷上的尴尬吗,2021-11-30 06:08:25,Matteo,text,0,0.506685,0.221992,0.778008
哈哈哈哈哈哈哈哈,2021-11-30 06:08:33,R,text,2,0.826193,0.921787,0.0782133
哈哈哈哈哈哈,2021-11-30 06:08:34,R,text,2,0.914082,0.961337,0.0386631
笑死,2021-11-30 06:08:36,R,text,0,0.984829,0.00682685,0.993173
我人都麻了,2021-11-30 06:08:52,Matteo,text,0,0.208833,0.356025,0.643975
还得是自己编,2021-11-30 06:09:46,R,text,0,0.995803,0.00188855,0.998111
我上次自己编了一百多份信服都过不去,2021-11-30 06:10:13,Matteo,text,0,0.984378,0.00702992,0.99297
信度,2021-11-30 06:10:20,Matteo,text,2,0.857143,0.935714,0.0642859
[旺柴],2021-11-30 06:10:26,R,text,0,0.572422,0.19241,0.80759
那发朋友圈？,2021-11-30 06:10:42,R,text,0,0.958469,0.018689,0.981311
那基本没人会填,2021-11-30 06:10:55,Matteo,text,0,0.684695,0.141887,0.858113
确实,2021-11-30 06:12:02,R,text,2,0.483035,0.767366,0.232634
朋友圈都不容易看到,2021-11-30 06:12:16,R,text,2,0.726007,0.876703,0.123297
我人麻了,2021-11-30 06:12:20,Matteo,text,0,0.301822,0.31418,0.68582
问卷更看不到,2021-11-30 06:12:21,R,text,0,0.908603,0.0411286,0.958871
我52个问题,2021-11-30 06:12:26,Matteo,text,0,0.228717,0.347077,0.652923
有人55s填完,2021-11-30 06:12:38,Matteo,text,2,0.452343,0.753554,0.246446
问题太多了 不熟的人这至少要给点钱才行,2021-11-30 06:13:07,R,text,0,0.988322,0.00525501,0.994745
是这样的,2021-11-30 06:13:16,Matteo,text,0,0.911277,0.0399252,0.960075
收了135份现在,2021-11-30 06:14:06,Matteo,text,0,0.247257,0.338734,0.661266
但是最少得删掉30份,2021-11-30 06:14:17,Matteo,text,0,0.516398,0.217621,0.782379
100s以下题目怕是都看不完,2021-11-30 06:14:33,Matteo,text,0,0.215385,0.353077,0.646923
还行了 毕竟五十多个问题呢,2021-11-30 06:14:38,R,text,2,0.905484,0.957468,0.0425323
所以我感觉他们下午在问卷群和人家互填,2021-11-30 06:15:10,Matteo,text,0,0.916525,0.0375638,0.962436
就是做无效功,2021-11-30 06:15:17,Matteo,text,0,0.922527,0.0348626,0.965137
互相敷衍,2021-11-30 06:15:40,R,text,0,0.99821,0.000805566,0.999194
没办法,2021-11-30 06:16:30,Matteo,text,0,0.994039,0.00268228,0.997318
你们有没有做过,2021-12-05 21:53:38,Matteo,text,0,0.934802,0.0293391,0.970661
那种完整的活动策划书,2021-12-05 21:53:47,Matteo,text,2,0.986318,0.993843,0.00615707
包括了活动策划和招商在内,2021-12-05 21:54:03,Matteo,text,2,0.261668,0.667751,0.332249
招商没有哎,2021-12-05 22:06:59,R,text,0,0.987674,0.00554676,0.994453
你知道李英姿老师吗,2021-12-07 04:00:24,R,text,0,0.106689,0.40199,0.59801
?,2021-12-07 04:00:31,Matteo,text,0,0.977256,0.0102351,0.989765
buzhidao,2021-12-07 04:00:40,Matteo,text,2,0.925125,0.966306,0.0336937
濠江数学老师  之前交过我数b,2021-12-07 04:00:41,R,text,2,0.444221,0.7499,0.2501
咋了,2021-12-07 04:00:58,Matteo,text,0,0.994975,0.0022611,0.997739
我靠,2021-12-07 04:01:34,R,text,0,0.799337,0.0902984,0.909702
萧琥珀我知道,2021-12-07 04:01:48,Matteo,text,2,0.961896,0.982853,0.0171468
那才几岁啊,2021-12-07 04:01:52,Matteo,text,0,0.45461,0.245426,0.754574
她教的在濠江里说算是贼好的了,2021-12-07 04:01:54,R,text,2,0.982065,0.991929,0.00807088
我靠,2021-12-07 04:02:00,R,text,0,0.799337,0.0902983,0.909702
才发现大部分老师叫什么都不记得了,2021-12-07 04:03:52,Matteo,text,0,0.815348,0.0830933,0.916907
也三年过去了,2021-12-07 04:04:54,R,text,2,0.981761,0.991792,0.0082077
唉,2021-12-07 04:31:29,Matteo,text,0,0.995556,0.00199998,0.998
啥也不会,2021-12-07 20:11:43,Matteo,text,0,0.994136,0.00263899,0.997361
裸考财会,2021-12-07 20:11:47,Matteo,text,2,0.825458,0.921456,0.0785439
难吗,2021-12-07 21:51:21,R,text,0,0.973995,0.0117024,0.988298
好好学的话应该有手就行,2021-12-07 21:52:04,Matteo,text,2,0.966647,0.984991,0.0150088
毕竟开卷,2021-12-07 21:52:16,Matteo,text,2,0.885836,0.948626,0.0513738
但是我连计算器都没带,2021-12-07 21:52:29,Matteo,text,0,0.698473,0.135687,0.864313
ppt也没去打印,2021-12-07 21:52:35,Matteo,text,0,0.959748,0.0181135,0.981887
[捂脸][捂脸][捂脸][捂脸],2021-12-07 21:53:27,R,text,1,0.141208,0.45706,0.54294
重修警告,2021-12-07 21:53:39,R,text,0,0.990656,0.00420495,0.995795
随便吧,2021-12-07 21:57:11,Matteo,text,0,0.986862,0.00591191,0.994088
妈的下周四个ddl,2021-12-07 21:57:20,Matteo,text,0,0.649874,0.157557,0.842443
有毛病,2021-12-07 21:57:23,Matteo,text,0,0.983857,0.00726451,0.992735
死亡期末,2021-12-07 21:59:52,R,text,2,0.773147,0.897916,0.102084
我要摆烂了,2021-12-07 22:00:14,Matteo,text,0,0.105655,0.402455,0.597545
财会还有个pre,2021-12-07 22:00:26,Matteo,text,2,0.876668,0.944501,0.0554992
我直接不做,2021-12-07 22:00:31,Matteo,text,0,0.983277,0.00752529,0.992475
他们爱做不做,2021-12-07 22:00:36,Matteo,text,1,0.407876,0.529606,0.470394
nb哈哈哈哈哈,2021-12-07 22:00:48,R,text,2,0.996699,0.998515,0.00148544
我的白头发,2021-12-08 03:29:40,Matteo,text,2,0.961223,0.98255,0.0174496
这学期是真的多了好多,2021-12-08 03:29:50,Matteo,text,2,0.973287,0.987979,0.0120206
我只是每个月三根[裂开],2021-12-08 04:15:13,R,text,0,0.8754,0.0560698,0.94393
发朋友圈吐槽被老师逮住了,2021-12-09 00:51:55,Matteo,text,0,0.994649,0.00240817,0.997592
是什么体验,2021-12-09 00:52:00,Matteo,text,1,0.095911,0.545204,0.454796
[汗]轻微社会性死亡,2021-12-09 00:52:15,R,text,0,0.888627,0.0501177,0.949882
《分组的重要性》,2021-12-09 00:52:45,R,text,2,0.93337,0.970016,0.0299835
还好不是同一门课的老师,2021-12-09 00:52:48,Matteo,text,0,0.24686,0.338913,0.661087
那还好,2021-12-09 00:53:07,R,text,2,0.437783,0.747002,0.252998
我说的是周一的一门课,2021-12-09 00:53:26,Matteo,text,2,0.786529,0.903938,0.0960618
真的是人力有穷时,2021-12-10 16:31:42,Matteo,text,0,0.741187,0.116466,0.883534
杂碎,2021-12-10 16:31:53,Matteo,text,0,0.934089,0.0296602,0.97034
队友,2021-12-10 16:31:57,Matteo,text,0,0.0492687,0.427829,0.572171
我是做spss数据分析的,2021-12-10 16:32:13,Matteo,text,2,0.179263,0.630669,0.369331
"""房呈祥2"" 撤回了一条消息",2021-12-10 16:32:22,Matteo,text,0,0.917058,0.0373238,0.962676
"""房呈祥2"" 撤回了一条消息",2021-12-10 16:33:19,Matteo,text,0,0.917058,0.0373238,0.962676
"""房呈祥2"" 撤回了一条消息",2021-12-10 16:33:31,Matteo,text,0,0.917058,0.0373238,0.962676
不是编数据分析结果的,2021-12-10 16:34:11,Matteo,text,0,0.999448,0.00024852,0.999752
yue,2021-12-10 16:34:29,Matteo,text,2,0.950145,0.977565,0.0224347
ANOVA我是真的编不下去了,2021-12-10 16:35:15,Matteo,text,0,0.998751,0.00056177,0.999438
又是sb队友？,2021-12-10 21:49:49,R,text,0,0.999966,1.5428e-05,0.999985
编数据我也不会,2021-12-10 21:50:29,R,text,0,0.994716,0.00237778,0.997622
编来编去不知道咋才能显著,2021-12-10 21:50:46,R,text,0,0.999526,0.000213404,0.999787
卡方还是比较好编的,2021-12-10 21:51:20,Matteo,text,0,0.54731,0.203711,0.796289
铁人王进喜？,2021-12-10 21:53:15,R,text,0,0.866834,0.0599248,0.940075
不用睡觉的吗？,2021-12-10 21:53:21,R,text,0,0.765808,0.105386,0.894614
睡醒了,2021-12-10 22:02:26,Matteo,text,0,0.351537,0.291808,0.708192
懂了 是我tm睡太久了[强],2021-12-10 22:03:17,R,text,0,0.694277,0.137575,0.862425
Anova的事后检验,2021-12-10 22:06:24,Matteo,text,0,0.909599,0.0406805,0.959319
是真没法编,2021-12-10 22:06:32,Matteo,text,0,0.999605,0.000177814,0.999822
也没有替代的检验,2021-12-10 22:06:54,R,text,0,0.63803,0.162886,0.837114
我那其他课的数据试一下吧,2021-12-10 22:08:28,Matteo,text,2,0.0724251,0.582591,0.417409
不行就只能放弃了,2021-12-10 22:08:44,Matteo,text,0,0.999457,0.00024434,0.999756
还有个回归我也打算直接套以前大报告的数据了,2021-12-10 22:09:36,Matteo,text,2,0.950066,0.97753,0.0224703
草学到了,2021-12-10 22:18:08,R,text,0,0.39285,0.273218,0.726782
还可以这样操作,2021-12-10 22:18:12,R,text,2,0.942887,0.974299,0.0257009
给你看看他们设计的脑瘫问卷,2021-12-10 22:20:40,Matteo,text,0,0.65424,0.155592,0.844408
底下那16个题项能做因子分析？,2021-12-10 22:21:07,Matteo,text,0,0.938934,0.0274798,0.97252
太难受了 做题都难受,2021-12-10 22:26:26,R,text,0,0.999825,7.86607e-05,0.999921
反向题是最傻逼的东西,2021-12-10 22:27:39,Matteo,text,0,0.999573,0.000191868,0.999808
问的问题和他们自己设的维又对不上,2021-12-10 22:28:30,Matteo,text,0,0.995443,0.00205067,0.997949
对对对,2021-12-10 22:28:55,R,text,2,0.644881,0.840196,0.159804
汗,2021-12-10 22:29:03,R,text,0,0.917613,0.0370741,0.962926
我的一个作业,2021-12-10 22:29:33,Matteo,text,2,0.470438,0.761697,0.238303
拿反向数据做是显著的,2021-12-10 22:29:54,Matteo,text,1,0.900129,0.495006,0.504993
从那之后我再也没设置过反向题,2021-12-10 22:30:33,Matteo,text,0,0.454497,0.245476,0.754524
昨天被一个万战云樱带了三把,2021-12-10 22:31:00,Matteo,text,2,0.607437,0.823346,0.176654
后面一把输了他就不和我打了,2021-12-10 22:31:13,Matteo,text,0,0.969675,0.0136461,0.986354
因为都不看题目吧,2021-12-10 22:34:11,Matteo,text,0,0.907666,0.0415502,0.95845
哈哈哈哈哈哈哈哈哈哈,2021-12-10 22:34:21,R,text,2,0.716816,0.872567,0.127433
还有就是五点的李克特量表不太行,2021-12-10 22:35:01,Matteo,text,0,0.901973,0.044112,0.955888
"我那题问的其实应该是""不是不满意""",2021-12-10 22:35:25,Matteo,text,0,0.908721,0.0410757,0.958924
"但是效果看起来就像是""满意""",2021-12-10 22:35:52,Matteo,text,2,0.982372,0.992068,0.00793247
[呲牙][呲牙][呲牙][呲牙][强],2021-12-10 22:37:01,R,text,2,0.986961,0.994133,0.00586738
要不全部设成反向吧,2021-12-10 22:37:17,R,text,0,0.978066,0.00987024,0.99013
数据也不用变了,2021-12-10 22:37:21,R,text,2,0.966742,0.985034,0.0149661
编,2021-12-10 22:37:23,R,text,0,0.994976,0.00226092,0.997739
说白就是,2021-12-10 22:37:43,Matteo,text,0,0.128174,0.392322,0.607678
除了背景分析,2021-12-10 22:37:53,Matteo,text,0,0.824953,0.0787711,0.921229
剩下的全靠我编,2021-12-10 22:38:00,Matteo,text,0,0.889568,0.0496944,0.950306
一个月时间做不出但凡有那么一点用的东西,2021-12-10 22:38:46,Matteo,text,0,0.759932,0.10803,0.89197
也是很nb,2021-12-10 22:39:01,Matteo,text,2,0.992019,0.996409,0.00359135
哈哈哈哈哈哈哈哈哈,2021-12-10 22:49:07,R,text,2,0.911407,0.960133,0.039867
你这个吐槽,2021-12-10 22:49:09,R,text,0,0.999127,0.000392943,0.999607
哈哈哈哈哈哈哈,2021-12-10 22:49:11,R,text,2,0.974361,0.988462,0.0115377
搞出来因子分析了,2021-12-10 23:30:48,Matteo,text,0,0.950309,0.022361,0.977639
但是问卷还不知道怎么搞,2021-12-10 23:31:01,Matteo,text,0,0.470487,0.238281,0.761719
熬夜性价比还是太低了,2021-12-11 04:12:37,Matteo,text,0,0.982208,0.00800646,0.991993
下午睡了一下午,2021-12-11 04:12:46,Matteo,text,2,0.439604,0.747822,0.252178
确实 我只有真的是ddl死到临头才会熬夜工作,2021-12-11 04:32:52,R,text,0,0.759333,0.1083,0.8917
下周一两个ddl,2021-12-11 04:33:30,Matteo,text,2,0.928632,0.967884,0.0321158
都还没做完,2021-12-11 04:33:39,Matteo,text,0,0.919729,0.0361221,0.963878
[咖啡],2021-12-11 04:40:07,R,text,2,0.751232,0.888055,0.111945
摆烂的感觉真好,2021-12-11 23:21:22,Matteo,text,2,0.997813,0.999016,0.000984143
《我不做》,2021-12-12 00:10:14,R,text,0,0.766881,0.104903,0.895096
《昨天不是说你做吗》,2021-12-12 00:10:25,R,text,0,0.983468,0.00743917,0.992561
房老师代表作,2021-12-12 00:10:34,R,text,2,0.998831,0.999474,0.000526071
有点破防,2021-12-12 08:20:53,Matteo,text,0,0.965142,0.0156861,0.984314
既然都喜欢摆烂,2021-12-12 08:21:06,Matteo,text,2,0.919965,0.963984,0.0360159
那我也摆,2021-12-12 08:21:12,Matteo,text,2,0.453786,0.754204,0.245796
反正也保不上,2021-12-12 08:21:25,Matteo,text,0,0.996126,0.0017431,0.998257
还在意什么绩点,2021-12-12 08:21:38,Matteo,text,0,0.82962,0.076671,0.923329
确实,2021-12-12 08:24:05,R,text,2,0.483035,0.767366,0.232634
然后最后告老师,2021-12-12 08:24:14,R,text,2,0.835236,0.925856,0.0741437
无所谓,2021-12-12 08:24:59,Matteo,text,0,0.294249,0.317588,0.682412
上学期我标了分工表,2021-12-12 08:25:07,Matteo,text,2,0.434283,0.745427,0.254573
最后还是一个组一个分,2021-12-12 08:25:14,Matteo,text,2,0.228038,0.652617,0.347383
老师其实也知道,2021-12-12 08:25:23,Matteo,text,2,0.970723,0.986825,0.0131748
但分数就是这么个分数,2021-12-12 08:25:31,Matteo,text,0,0.900906,0.0445925,0.955408
把群解了,2021-12-12 08:26:12,Matteo,text,0,0.704779,0.132849,0.867151
舒服了,2021-12-12 08:26:16,Matteo,text,2,0.998895,0.999503,0.000497186
发邮件写小作文[旺柴],2021-12-12 08:27:38,R,text,0,0.0894268,0.409758,0.590242
好好听话好了,2021-12-12 08:29:05,Matteo,text,2,0.999514,0.999781,0.000218693
做你妈的作业,2021-12-12 08:29:10,Matteo,text,0,0.997082,0.00131317,0.998687
真的是心有余而力不足,2021-12-12 08:29:45,Matteo,text,0,0.150279,0.382374,0.617626
一个人再怎么肝,2021-12-12 08:29:58,Matteo,text,0,0.958462,0.0186923,0.981308
质量也就那样,2021-12-12 08:30:16,Matteo,text,0,0.776136,0.100739,0.899261
很多东西根本考虑不全,2021-12-12 08:30:28,Matteo,text,0,0.99557,0.00199332,0.998007
后面课越来越少了吧？,2021-12-12 08:36:18,R,text,0,0.995698,0.00193604,0.998064
大学英语,2021-12-12 08:37:07,R,text,2,0.632902,0.834806,0.165194
哈哈哈哈哈哈哈哈哈哈哈,2021-12-12 08:37:10,R,text,2,0.824151,0.920868,0.0791321
哈哈哈哈哈哈哈哈,2021-12-12 08:37:12,R,text,2,0.826193,0.921787,0.0782133
后面就还好,2021-12-12 08:37:17,Matteo,text,1,0.796292,0.489815,0.510185
大学英语,2021-12-12 08:37:29,R,text,2,0.632902,0.834806,0.165194
行了行了,2021-12-12 08:37:36,Matteo,text,0,0.222284,0.349972,0.650028
不愧是你,2021-12-12 08:37:54,R,text,2,0.99861,0.999375,0.000625457
。,2021-12-12 08:38:00,Matteo,text,2,0.23057,0.653756,0.346243
我也挺无语,2021-12-12 08:38:12,Matteo,text,0,0.995076,0.00221566,0.997784
麻了,2021-12-15 08:45:09,Matteo,text,0,0.287256,0.320735,0.679265
什么东西,2021-12-15 10:29:19,R,text,0,0.973846,0.0117691,0.988231
让你回想起了往事？,2021-12-15 10:29:40,R,text,0,0.79245,0.0933977,0.906602
袁婷微博发的,2021-12-15 10:49:31,Matteo,text,2,0.657905,0.846057,0.153943
wok666,2021-12-15 10:55:27,R,text,2,0.841859,0.928837,0.0711633
我晕了,2021-12-15 10:55:36,R,text,0,0.943798,0.0252911,0.974709
难以解读,2021-12-15 10:55:39,R,text,0,0.916405,0.0376177,0.962382
你怎么还有她微博啊,2021-12-15 11:38:56,R,text,0,0.963559,0.0163984,0.983602
我没有,2021-12-15 11:39:02,Matteo,text,0,0.916751,0.0374622,0.962538
但是能找到就是了,2021-12-15 11:39:13,Matteo,text,2,0.974413,0.988486,0.0115144
