localId,TalkerId,Type,SubType,IsSender,CreateTime,Status,StrContent,StrTime,Remark,NickName,Sender
1275568,6,47,0,0,1626412122,,"<msg><emoji fromusername=""wxid_bw1xnecir2p22"" tousername=""a33386437"" type=""1"" idbuffer=""media:0_0"" md5=""94997d35211199d3b0df539c6eae3e9d"" len=""998"" productid="""" androidmd5=""94997d35211199d3b0df539c6eae3e9d"" androidlen=""998"" s60v3md5=""94997d35211199d3b0df539c6eae3e9d"" s60v3len=""998"" s60v5md5=""94997d35211199d3b0df539c6eae3e9d"" s60v5len=""998"" cdnurl=""http://vweixinf.tc.qq.com/110/20401/stodownload?m=94997d35211199d3b0df539c6eae3e9d&amp;filekey=3043020101042f302d02016e0402535a04203934393937643335323131313939643362306466353339633665616533653964020228e8040d00000004627466730000000131&amp;hy=SZ&amp;storeid=323032313034323531373334343830303063323664303163633431656633323331353566303930303030303036653031303034666231&amp;ef=1&amp;bizid=1022"" designerid="""" thumburl="""" encrypturl=""http://vweixinf.tc.qq.com/110/20402/stodownload?m=bb99ef21ba3eb957f7d4d44a832c1423&amp;filekey=3043020101042f302d02016e0402535a04206262393965663231626133656239353766376434643434613833326331343233020228f0040d00000004627466730000000131&amp;hy=SZ&amp;storeid=323032313034323531373334343830303064313366653163633431656633323331353566303930303030303036653032303034666232&amp;ef=2&amp;bizid=1022"" aeskey=""3bbee699b15c4132a83b422fb2e4b899"" externurl=""http://vweixinf.tc.qq.com/110/20403/stodownload?m=4731b26613ee8f84935b3bd5a0f46b07&amp;filekey=3043020101042f302d02016e0402535a04203437333162323636313365653866383439333562336264356130663436623037020203f0040d00000004627466730000000131&amp;hy=SZ&amp;storeid=323032313034323531373334343830303064613362343163633431656633323331353566303930303030303036653033303034666233&amp;ef=3&amp;bizid=1022"" externmd5=""028f951f1fe9d9f721dd1a1080ce221d"" width=""0"" height=""0"" tpurl="""" tpauthkey="""" attachedtext="""" attachedtextcolor="""" lensid="""" emojiattr="""" linkid=""""></emoji></msg>",2021-07-16 01:08:42,Matteo,Matteo,wxid_bw1xnecir2p22
1275569,6,1,0,0,1626412136,,我感觉我到时候连大屏幕都看不清,2021-07-16 01:08:56,Matteo,Matteo,wxid_bw1xnecir2p22
1275570,6,1,0,1,1626412752,,牛啊,2021-07-16 01:19:12,R,R,a33386437
1275571,6,1,0,1,1626412756,,北京那个,2021-07-16 01:19:16,R,R,a33386437
1275572,6,1,0,0,1626412770,,小组赛,2021-07-16 01:19:30,Matteo,Matteo,wxid_bw1xnecir2p22
1275573,6,1,0,0,1626412788,,南京的,2021-07-16 01:19:48,Matteo,Matteo,wxid_bw1xnecir2p22
1275574,6,1,0,1,1626412836,,小组赛也这么多人吗,2021-07-16 01:20:36,R,R,a33386437
1275575,6,1,0,0,1626412850,,十二点售票,2021-07-16 01:20:50,Matteo,Matteo,wxid_bw1xnecir2p22
1275576,6,1,0,0,1626412859,,我十二点四十五才想起来,2021-07-16 01:20:59,Matteo,Matteo,wxid_bw1xnecir2p22
1275577,6,47,0,0,1626412868,,"<msg><emoji fromusername=""wxid_bw1xnecir2p22"" tousername=""a33386437"" type=""2"" idbuffer=""media:0_0"" md5=""ec05665a51c1df5db318074bc7cfaf18"" len=""1358366"" productid="""" androidmd5=""ec05665a51c1df5db318074bc7cfaf18"" androidlen=""1358366"" s60v3md5=""ec05665a51c1df5db318074bc7cfaf18"" s60v3len=""1358366"" s60v5md5=""ec05665a51c1df5db318074bc7cfaf18"" s60v5len=""1358366"" cdnurl=""http://emoji.qpic.cn/wx_emoji/5tD4dOjXbEddiaKcZqzah9fUiczZ0kqxb4GhU564ib8fFibGucia397TfL9OHgyMcTLpN/"" designerid="""" thumburl="""" encrypturl=""http://emoji.qpic.cn/wx_emoji/5tD4dOjXbEddiaKcZqzah9fUiczZ0kqxb4GhU564ib8fF9u3WZfngqOpicu3DFcGibCfs/"" aeskey=""b2d65a1999de42d00723364a9be286de"" externurl=""http://emoji.qpic.cn/wx_emoji/ibDbdePuDKibvib9RxqhEzBG5hKoxDaNmlSTVrHFISrjGscZwzmjuTmZ6Wcgu0MYlQS/"" externmd5=""65424e6aa5ab28d5e1a8b6090e99b625"" width=""300"" height=""300"" tpurl="""" tpauthkey="""" attachedtext="""" attachedtextcolor="""" lensid="""" emojiattr="""" linkid=""""></emoji></msg>",2021-07-16 01:21:08,Matteo,Matteo,wxid_bw1xnecir2p22
